ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1694477	1.00e-01	3.58e-02	-2.10	-4.781544	-6.41e-02	NA		
ILMN_1682335	1.00e-01	3.58e-02	-2.10	-4.781753	-5.89e-02	NA		
ILMN_1677714	1.00e-01	3.58e-02	2.10	-4.781884	4.96e-02	NA		
ILMN_1674187	1.00e-01	3.58e-02	-2.10	-4.782164	-6.62e-02	NA		
ILMN_1692255	1.00e-01	3.58e-02	-2.10	-4.782344	-8.06e-02	71483644	WDR45	WD repeat domain 45
ILMN_1675617	1.00e-01	3.58e-02	-2.10	-4.782397	-2.53e-01	74229030	NT5M	5',3'-nucleotidase, mitochondrial
ILMN_1690036	1.00e-01	3.58e-02	-2.10	-4.782439	-1.42e-01	NA		
ILMN_1655740	1.00e-01	3.58e-02	-2.10	-4.782471	-3.86e-02	324072669	SNAI2	snail family transcriptional repressor 2
ILMN_2219628	1.01e-01	3.59e-02	-2.10	-4.783285	-5.35e-02	357430791	SSB	Sjogren syndrome antigen B
ILMN_1682772	1.01e-01	3.59e-02	-2.10	-4.783307	-5.35e-02	NA		
ILMN_3178273	1.01e-01	3.59e-02	2.10	-4.78344	7.78e-02	NA		
ILMN_1733703	1.01e-01	3.59e-02	2.10	-4.783805	8.87e-02	83281442	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase
ILMN_1911885	1.01e-01	3.59e-02	-2.10	-4.784003	-7.78e-02	2575727		
ILMN_3218538	1.01e-01	3.59e-02	2.10	-4.784385	1.57e-01	NA		
ILMN_1733925	1.01e-01	3.59e-02	-2.10	-4.784507	-6.63e-02	NA		
ILMN_2342033	1.01e-01	3.60e-02	-2.10	-4.785482	-1.71e-01	NA		
ILMN_2232712	1.01e-01	3.60e-02	-2.10	-4.785586	-7.31e-02	154354978	MYO10	myosin X
ILMN_1726230	1.01e-01	3.60e-02	-2.10	-4.78592	-1.11e-01	110618225	CD1B	CD1b molecule
ILMN_1666825	1.01e-01	3.60e-02	-2.10	-4.78629	-4.50e-02	722253633	C1orf229	chromosome 1 open reading frame 229
ILMN_3246783	1.01e-01	3.60e-02	2.10	-4.786419	2.25e-02	NA		
ILMN_1797942	1.01e-01	3.60e-02	-2.10	-4.786534	-5.78e-02	NA		
ILMN_1792757	1.01e-01	3.60e-02	-2.10	-4.786717	-1.09e-01	1003701565	DPP8	dipeptidyl peptidase 8
ILMN_1732309	1.01e-01	3.60e-02	-2.10	-4.786959	-5.50e-02	68160953	TAS2R9	taste 2 receptor member 9
ILMN_1759030	1.01e-01	3.60e-02	2.10	-4.787104	1.35e-01	319655769	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
ILMN_1804142	1.01e-01	3.60e-02	-2.10	-4.787241	-4.46e-02	NA		
ILMN_1729591	1.01e-01	3.60e-02	2.10	-4.787533	4.53e-02	NA		
ILMN_1728106	1.01e-01	3.60e-02	2.10	-4.787682	1.91e-01	395132451	TNF	tumor necrosis factor
ILMN_2372413	1.01e-01	3.61e-02	-2.10	-4.788108	-1.32e-01	347300412	BID	BH3 interacting domain death agonist
ILMN_3191030	1.01e-01	3.61e-02	-2.10	-4.788236	-2.38e-01	NA		
ILMN_1680936	1.01e-01	3.61e-02	-2.10	-4.788367	-6.67e-02	NA		
ILMN_2098947	1.01e-01	3.61e-02	2.10	-4.788405	1.91e-01	223671895	LINC01089	long intergenic non-protein coding RNA 1089
ILMN_1903082	1.01e-01	3.61e-02	-2.10	-4.788685	-9.58e-02	5236296	LINC01077	long intergenic non-protein coding RNA 1077
ILMN_2280548	1.01e-01	3.61e-02	-2.10	-4.788823	-1.51e-01	340545551	FYB	FYN binding protein
ILMN_1766090	1.01e-01	3.61e-02	-2.10	-4.788873	-6.83e-02	NA		
ILMN_3265193	1.01e-01	3.61e-02	2.10	-4.789481	4.59e-02	NA		
ILMN_1782741	1.01e-01	3.61e-02	-2.10	-4.790051	-1.90e-01	510936989	CD300LB	CD300 molecule like family member b
ILMN_1718727	1.01e-01	3.62e-02	-2.10	-4.790128	-4.17e-02	NA		
ILMN_1811719	1.01e-01	3.62e-02	2.10	-4.790184	1.72e-02	189083797	MYO7A	myosin VIIA
ILMN_1782275	1.01e-01	3.62e-02	-2.10	-4.790359	-6.84e-02	NA		
ILMN_3238904	1.01e-01	3.62e-02	2.10	-4.79044	2.97e-02	213417875	LOC100130987	uncharacterized LOC100130987
ILMN_1810185	1.01e-01	3.62e-02	-2.10	-4.790904	-4.63e-02	NA		
ILMN_1764380	1.01e-01	3.62e-02	2.10	-4.791677	9.10e-02	53832029	GLTP	glycolipid transfer protein
ILMN_1773079	1.01e-01	3.62e-02	-2.10	-4.791837	-7.45e-02	110224482	COL3A1	collagen type III alpha 1 chain
ILMN_2214473	1.01e-01	3.62e-02	2.10	-4.792168	7.67e-02	270265794	ARHGEF35	Rho guanine nucleotide exchange factor 35
ILMN_1914891	1.01e-01	3.63e-02	-2.10	-4.792465	-6.25e-02	13746490		
ILMN_1719133	1.01e-01	3.63e-02	-2.10	-4.792559	-8.25e-02	NA		
ILMN_1769575	1.01e-01	3.63e-02	2.10	-4.792745	2.53e-01	328927054	JAM3	junctional adhesion molecule 3
ILMN_1849512	1.01e-01	3.63e-02	-2.10	-4.793057	-6.41e-02	NA		
ILMN_1773048	1.01e-01	3.63e-02	-2.10	-4.793078	-6.09e-02	229608893	MICU3	mitochondrial calcium uptake family member 3
ILMN_2409596	1.02e-01	3.63e-02	-2.10	-4.793739	-1.55e-01	289547525	RAB11FIP1	RAB11 family interacting protein 1
ILMN_1725518	1.02e-01	3.63e-02	2.10	-4.793854	5.19e-02	29893554	ANGPTL6	angiopoietin like 6
ILMN_2162234	1.02e-01	3.63e-02	2.10	-4.793927	8.10e-02	313661424	NEK1	NIMA related kinase 1
ILMN_1860939	1.02e-01	3.63e-02	-2.10	-4.794238	-6.37e-02	82332548	ERVV-2	endogenous retrovirus group V member 2
ILMN_2284077	1.02e-01	3.63e-02	-2.10	-4.794283	-6.71e-02	641738642	SLC38A8	solute carrier family 38 member 8
ILMN_1787265	1.02e-01	3.63e-02	2.10	-4.79461	1.12e-01	647568807	ZNF503	zinc finger protein 503
ILMN_1756676	1.02e-01	3.64e-02	-2.10	-4.794895	-1.52e-01	558472793	PHF19	PHD finger protein 19
ILMN_1705678	1.02e-01	3.64e-02	-2.10	-4.795393	-5.45e-02	NA		
ILMN_1872323	1.02e-01	3.64e-02	-2.10	-4.795807	-6.63e-02	21315044		
ILMN_1802518	1.02e-01	3.64e-02	2.10	-4.795889	1.31e-01	NA		
ILMN_1768435	1.02e-01	3.64e-02	-2.10	-4.795993	-5.37e-02	NA		
ILMN_3241739	1.02e-01	3.64e-02	-2.10	-4.796262	-6.77e-02	NA		
ILMN_1905711	1.02e-01	3.64e-02	-2.10	-4.796327	-4.70e-02	27842856		
ILMN_1790909	1.02e-01	3.64e-02	-2.09	-4.796824	-1.28e-01	372620346	NFE2L2	nuclear factor, erythroid 2 like 2
ILMN_2104409	1.02e-01	3.65e-02	2.09	-4.7972	3.85e-02	84872059	RPL29P2	ribosomal protein L29 pseudogene 2
ILMN_1809035	1.02e-01	3.65e-02	-2.09	-4.797229	-4.69e-02	NA		
ILMN_2312817	1.02e-01	3.65e-02	2.09	-4.797521	4.26e-03	NA		
ILMN_1793836	1.02e-01	3.65e-02	-2.09	-4.797568	-7.73e-02	NA		
ILMN_3310568	1.02e-01	3.65e-02	2.09	-4.797672	1.61e-02	262205981	MIR598	microRNA 598
ILMN_2327780	1.02e-01	3.65e-02	2.09	-4.797852	1.41e-01	44955897	TRIM23	tripartite motif containing 23
ILMN_1898561	1.02e-01	3.65e-02	-2.09	-4.798628	-5.70e-02	38149984		
ILMN_1742044	1.02e-01	3.65e-02	-2.09	-4.799152	-6.50e-02	156071490	GNAI1	G protein subunit alpha i1
ILMN_1712588	1.02e-01	3.65e-02	-2.09	-4.79921	-5.46e-02	749502360	POLR2J4	RNA polymerase II subunit J4, pseudogene
ILMN_1720075	1.02e-01	3.65e-02	-2.09	-4.799331	-4.34e-02	NA		
ILMN_3193798	1.02e-01	3.65e-02	-2.09	-4.799373	-7.15e-02	401709969	ATXN1L	ataxin 1 like
ILMN_1665501	1.02e-01	3.66e-02	-2.09	-4.800106	-7.82e-02	NA		
ILMN_1784031	1.02e-01	3.66e-02	2.09	-4.800401	8.88e-02	290463107	TIMM44	translocase of inner mitochondrial membrane 44
ILMN_1835609	1.02e-01	3.66e-02	-2.09	-4.801065	-7.04e-02	76555640	DNAH12	dynein axonemal heavy chain 12
ILMN_1765986	1.02e-01	3.67e-02	-2.09	-4.801729	-5.59e-02	540344512	INHBC	inhibin beta C subunit
ILMN_1761790	1.02e-01	3.67e-02	-2.09	-4.801751	-1.06e-01	NA		
ILMN_1674411	1.02e-01	3.67e-02	2.09	-4.801806	1.42e-01	557878729	CKAP2	cytoskeleton associated protein 2
ILMN_1741056	1.02e-01	3.67e-02	-2.09	-4.801809	-8.74e-02	156139121	TET1	tet methylcytosine dioxygenase 1
ILMN_1756631	1.02e-01	3.67e-02	2.09	-4.801918	1.75e-01	930596556	ZNF526	zinc finger protein 526
ILMN_1710544	1.02e-01	3.67e-02	-2.09	-4.802008	-4.71e-02	14589930	PCDH7	protocadherin 7
ILMN_1761850	1.02e-01	3.67e-02	-2.09	-4.802016	-1.26e-01	197245425	ATRN	attractin
ILMN_1851891	1.02e-01	3.67e-02	-2.09	-4.802296	-4.38e-02	13747572		
ILMN_1761361	1.02e-01	3.67e-02	-2.09	-4.802384	-4.98e-02	NA		
ILMN_2403896	1.02e-01	3.67e-02	2.09	-4.802619	1.36e-02	218505804	GGTLC2	gamma-glutamyltransferase light chain 2
ILMN_3310755	1.02e-01	3.67e-02	-2.09	-4.802732	-4.57e-02	262206094	MIR197	microRNA 197
ILMN_3290174	1.02e-01	3.67e-02	2.09	-4.803206	6.73e-02	223633933	MTMR9LP	myotubularin related protein 9-like, pseudogene
ILMN_1676200	1.02e-01	3.67e-02	-2.09	-4.803298	-5.46e-02	NA		
ILMN_1785762	1.02e-01	3.67e-02	-2.09	-4.803578	-1.15e-01	570700819	RHOT1	ras homolog family member T1
ILMN_1906438	1.03e-01	3.68e-02	-2.09	-4.804283	-5.20e-02	23689170	FOXC2	forkhead box C2
ILMN_3279652	1.03e-01	3.68e-02	2.09	-4.804317	6.13e-02	NA		
ILMN_1831081	1.03e-01	3.68e-02	-2.09	-4.804383	-7.02e-02	4828008		
ILMN_1768744	1.03e-01	3.68e-02	-2.09	-4.804387	-9.59e-02	NA		
ILMN_1678618	1.03e-01	3.68e-02	2.09	-4.804389	1.30e-02	49355760	ELAVL3	ELAV like neuron-specific RNA binding protein 3
ILMN_1791637	1.03e-01	3.68e-02	-2.09	-4.804524	-7.68e-02	374088140	TSSK6	testis specific serine kinase 6
ILMN_1710641	1.03e-01	3.68e-02	-2.09	-4.804666	-7.51e-02	NA		
ILMN_1812759	1.03e-01	3.68e-02	-2.09	-4.804765	-1.89e-01	66932971	GCH1	GTP cyclohydrolase 1
ILMN_1693131	1.03e-01	3.68e-02	-2.09	-4.804878	-3.91e-02	NA		
ILMN_1799980	1.03e-01	3.68e-02	-2.09	-4.804939	-4.13e-02	84872073	TPTE2P3	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 3
ILMN_1734742	1.03e-01	3.68e-02	2.09	-4.805006	1.15e-01	669033302	ARHGDIA	Rho GDP dissociation inhibitor alpha
ILMN_1751576	1.03e-01	3.68e-02	-2.09	-4.805259	-6.89e-02	587651915	TEK	TEK receptor tyrosine kinase
ILMN_1870041	1.03e-01	3.68e-02	-2.09	-4.805261	-1.89e-01	3183900		
ILMN_1814429	1.03e-01	3.68e-02	-2.09	-4.805319	-4.76e-02	NA		
ILMN_1805662	1.03e-01	3.68e-02	-2.09	-4.805448	-8.50e-02	NA		
ILMN_1661470	1.03e-01	3.68e-02	-2.09	-4.805931	-5.28e-02	NA		
ILMN_1722966	1.03e-01	3.69e-02	-2.09	-4.806651	-4.27e-02	NA		
ILMN_3257430	1.03e-01	3.69e-02	2.09	-4.806664	8.98e-02	1007388879	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U like 1
ILMN_2156250	1.03e-01	3.69e-02	-2.09	-4.806953	-1.13e-01	528078360	SOCS3	suppressor of cytokine signaling 3
ILMN_1702592	1.03e-01	3.69e-02	2.09	-4.806972	1.48e-01	757813194	WDR73	WD repeat domain 73
ILMN_1797432	1.03e-01	3.69e-02	2.09	-4.807261	9.93e-03	253683412	SLC35G3	solute carrier family 35 member G3
ILMN_1772938	1.03e-01	3.69e-02	-2.09	-4.80751	-7.44e-02	NA		
ILMN_1653744	1.03e-01	3.69e-02	-2.09	-4.808005	-6.96e-02	NA		
ILMN_1652939	1.03e-01	3.70e-02	2.09	-4.808821	4.79e-02	609874331	SPATA31A1	SPATA31 subfamily A member 1
ILMN_1826141	1.03e-01	3.70e-02	-2.09	-4.809222	-4.81e-02	51666101		
ILMN_1736303	1.03e-01	3.70e-02	-2.09	-4.809432	-4.77e-02	1003701511	KCNV1	potassium voltage-gated channel modifier subfamily V member 1
ILMN_2152028	1.03e-01	3.70e-02	-2.09	-4.809916	-6.83e-02	NA		
ILMN_1872496	1.03e-01	3.70e-02	-2.09	-4.810246	-5.90e-02	6505736	CXorf51B	chromosome X open reading frame 51B
ILMN_1797579	1.03e-01	3.70e-02	-2.09	-4.810435	-7.57e-02	NA		
ILMN_1697420	1.03e-01	3.70e-02	2.09	-4.810653	9.89e-02	151101234	TINF2	TERF1 interacting nuclear factor 2
ILMN_1671864	1.03e-01	3.70e-02	-2.09	-4.810661	-8.10e-02	NA		
ILMN_1691809	1.03e-01	3.71e-02	2.09	-4.811015	1.68e-01	221316713	PSMA1	proteasome subunit alpha 1
ILMN_1801851	1.03e-01	3.71e-02	-2.09	-4.81109	-8.47e-02	157266295	ALPPL2	alkaline phosphatase, placental like 2
ILMN_1749474	1.03e-01	3.71e-02	-2.09	-4.811326	-4.83e-02	NA		
ILMN_1898096	1.03e-01	3.71e-02	-2.09	-4.811702	-4.64e-02	2994766	LOC102467216	uncharacterized LOC102467216
ILMN_1793040	1.03e-01	3.71e-02	-2.09	-4.811766	-9.21e-02	226442877	ADAMTSL5	ADAMTS like 5
ILMN_1804332	1.03e-01	3.71e-02	-2.09	-4.811868	-9.60e-02	283135239	GPR137	G protein-coupled receptor 137
ILMN_1868735	1.03e-01	3.71e-02	2.09	-4.812691	8.29e-03	NA		
ILMN_1709825	1.03e-01	3.71e-02	-2.09	-4.813119	-4.39e-02	384871677	WDR89	WD repeat domain 89
ILMN_2373689	1.03e-01	3.72e-02	-2.09	-4.813218	-8.24e-02	110225350	DIAPH3	diaphanous related formin 3
ILMN_1813763	1.03e-01	3.72e-02	2.09	-4.813563	1.17e-01	380503860	SLC20A2	solute carrier family 20 member 2
ILMN_1772274	1.03e-01	3.72e-02	-2.09	-4.813886	-5.79e-02	NA		
ILMN_1684714	1.03e-01	3.72e-02	-2.09	-4.814232	-9.60e-02	NA		
ILMN_1769306	1.03e-01	3.72e-02	-2.09	-4.814344	-3.79e-02	215490112	PRELID3A	PRELI domain containing 3A
ILMN_1710726	1.03e-01	3.72e-02	-2.09	-4.814355	-1.22e-01	110225344	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F
ILMN_1651336	1.03e-01	3.72e-02	2.09	-4.814372	8.23e-02	110349749	MLYCD	malonyl-CoA decarboxylase
ILMN_1738909	1.04e-01	3.72e-02	2.09	-4.815184	9.61e-02	291084622	TROVE2	TROVE domain family member 2
ILMN_1694887	1.04e-01	3.72e-02	-2.09	-4.815333	-7.52e-02	NA		
ILMN_1667115	1.04e-01	3.73e-02	-2.09	-4.815657	-6.07e-02	732662988	TMEM61	transmembrane protein 61
ILMN_1808566	1.04e-01	3.73e-02	-2.09	-4.815861	-1.12e-01	74027271	MFSD13A	major facilitator superfamily domain containing 13A
ILMN_1759475	1.04e-01	3.73e-02	2.09	-4.816258	2.36e-02	116875818	TAS2R39	taste 2 receptor member 39
ILMN_1651643	1.04e-01	3.73e-02	-2.09	-4.816784	-4.86e-02	320202943	ASB11	ankyrin repeat and SOCS box containing 11
ILMN_1800670	1.04e-01	3.73e-02	-2.09	-4.816956	-4.29e-02	355390329	KIF21B	kinesin family member 21B
ILMN_3240829	1.04e-01	3.73e-02	2.08	-4.817299	6.53e-02	393250349	ZSCAN12P1	zinc finger and SCAN domain containing 12 pseudogene 1
ILMN_1830484	1.04e-01	3.74e-02	-2.08	-4.817827	-5.20e-02	24781848		
ILMN_1844611	1.04e-01	3.74e-02	-2.08	-4.81888	-1.35e-01	5339921		
ILMN_1740042	1.04e-01	3.74e-02	-2.08	-4.818891	-3.75e-02	48255912	TRIM16	tripartite motif containing 16
ILMN_2346649	1.04e-01	3.75e-02	-2.08	-4.820256	-1.23e-01	1043523329	ZNF473	zinc finger protein 473
ILMN_1672591	1.04e-01	3.75e-02	-2.08	-4.820311	-7.82e-02	256017191	SCN9A	sodium voltage-gated channel alpha subunit 9
ILMN_1728512	1.04e-01	3.75e-02	-2.08	-4.820449	-9.11e-02	61744461	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
ILMN_1811367	1.04e-01	3.75e-02	2.08	-4.821258	9.75e-02	422010901	MAT2B	methionine adenosyltransferase 2B
ILMN_1743853	1.04e-01	3.75e-02	-2.08	-4.822062	-9.92e-02	NA		
ILMN_2179915	1.04e-01	3.75e-02	-2.08	-4.822155	-5.21e-02	8923172	ARHGEF38	Rho guanine nucleotide exchange factor 38
ILMN_1805403	1.04e-01	3.76e-02	-2.08	-4.822302	-5.10e-02	NA		
ILMN_1693620	1.04e-01	3.76e-02	-2.08	-4.822307	-1.54e-01	315709017	PGM3	phosphoglucomutase 3
ILMN_1809101	1.04e-01	3.76e-02	-2.08	-4.822659	-4.43e-02	100913195	STEAP2	STEAP2 metalloreductase
ILMN_2149400	1.04e-01	3.76e-02	-2.08	-4.822854	-7.88e-02	23510353	SPC25	SPC25, NDC80 kinetochore complex component
ILMN_1749836	1.04e-01	3.76e-02	-2.08	-4.823398	-5.91e-02	NA		
ILMN_1740524	1.04e-01	3.76e-02	2.08	-4.823488	9.79e-03	117190518	NEU3	neuraminidase 3
ILMN_1712289	1.04e-01	3.76e-02	-2.08	-4.823605	-6.71e-02	NA		
ILMN_1677221	1.04e-01	3.76e-02	2.08	-4.823702	9.19e-02	548923937	PTCD2	pentatricopeptide repeat domain 2
ILMN_2053567	1.05e-01	3.77e-02	2.08	-4.825481	1.40e-01	209969828	FASTKD2	FAST kinase domains 2
ILMN_1680344	1.05e-01	3.77e-02	-2.08	-4.825796	-1.60e-01	140560918	MYOM1	myomesin 1
ILMN_1702255	1.05e-01	3.78e-02	2.08	-4.827117	4.79e-03	240255504	KCNT1	potassium sodium-activated channel subfamily T member 1
ILMN_1722230	1.05e-01	3.78e-02	-2.08	-4.827124	-4.91e-02	NA		
ILMN_2268990	1.05e-01	3.78e-02	2.08	-4.827331	3.46e-02	595763542	DRD3	dopamine receptor D3
ILMN_1790160	1.05e-01	3.78e-02	2.08	-4.827788	1.10e-01	148005038	KIT	KIT proto-oncogene receptor tyrosine kinase
ILMN_1752451	1.05e-01	3.78e-02	2.08	-4.828216	1.72e-01	982742429	CTSH	cathepsin H
ILMN_1723706	1.05e-01	3.78e-02	2.08	-4.82823	1.72e-01	964227709	GRAMD4	GRAM domain containing 4
ILMN_1821270	1.05e-01	3.78e-02	2.08	-4.828295	1.90e-01	44887462		
ILMN_1769665	1.05e-01	3.78e-02	-2.08	-4.828615	-1.09e-01	354725906	RAB5C	RAB5C, member RAS oncogene family
ILMN_1750409	1.05e-01	3.78e-02	2.08	-4.828657	1.05e-01	305855088	RAB9A	RAB9A, member RAS oncogene family
ILMN_1660007	1.05e-01	3.78e-02	-2.08	-4.828914	-6.73e-02	296531391	CCDC155	coiled-coil domain containing 155
ILMN_2275199	1.05e-01	3.79e-02	-2.08	-4.829763	-5.44e-02	550822366	OPRM1	opioid receptor mu 1
ILMN_1780153	1.05e-01	3.79e-02	2.08	-4.830038	1.31e-01	221218971	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1
ILMN_3299375	1.05e-01	3.79e-02	2.08	-4.830257	7.04e-02	NA		
ILMN_1670676	1.05e-01	3.79e-02	2.08	-4.830296	9.45e-03	170650704	TBRG1	transforming growth factor beta regulator 1
ILMN_1691195	1.05e-01	3.79e-02	-2.08	-4.830345	-5.01e-02	NA		
ILMN_1871229	1.05e-01	3.79e-02	-2.08	-4.830825	-5.32e-02	5446294	PRAMEF34P	PRAME family member 34, pseudogene
ILMN_2194688	1.05e-01	3.80e-02	-2.08	-4.831733	-1.19e-01	54792134	DKK2	dickkopf WNT signaling pathway inhibitor 2
ILMN_1655623	1.05e-01	3.80e-02	-2.08	-4.831845	-5.79e-02	NA		
ILMN_1798790	1.05e-01	3.80e-02	-2.08	-4.832003	-5.92e-02	322812165	IL17RC	interleukin 17 receptor C
ILMN_1825357	1.05e-01	3.80e-02	-2.08	-4.832179	-6.81e-02	83082351		
ILMN_1678555	1.05e-01	3.80e-02	-2.08	-4.832317	-5.43e-02	NA		
ILMN_2063106	1.05e-01	3.80e-02	-2.08	-4.832769	-4.29e-02	197382428	CLK2P1	CDC like kinase 2, pseudogene 1
ILMN_1651547	1.05e-01	3.80e-02	-2.08	-4.833085	-4.79e-02	296011006	SEMA3E	semaphorin 3E
ILMN_1721700	1.06e-01	3.81e-02	-2.08	-4.833532	-6.14e-02	NA		
ILMN_2179739	1.06e-01	3.81e-02	-2.08	-4.83359	-4.16e-02	4557634	HCRT	hypocretin neuropeptide precursor
ILMN_1702030	1.06e-01	3.81e-02	-2.08	-4.833716	-3.73e-02	NA		
ILMN_2398211	1.06e-01	3.81e-02	-2.08	-4.833768	-6.70e-02	443609467	ANKRD20A3	ankyrin repeat domain 20 family member A3
ILMN_1664177	1.06e-01	3.81e-02	2.08	-4.833977	1.11e-01	197304735	ATXN7L2	ataxin 7 like 2
ILMN_1666617	1.06e-01	3.81e-02	-2.08	-4.834076	-8.11e-02	654825284	LINC00472	long intergenic non-protein coding RNA 472
ILMN_1785312	1.06e-01	3.81e-02	-2.08	-4.834474	-4.61e-02	323098328	IL15	interleukin 15
ILMN_1910608	1.06e-01	3.81e-02	-2.08	-4.834572	-4.55e-02	2904829		
ILMN_2351269	1.06e-01	3.81e-02	-2.08	-4.835313	-4.76e-02	319803129	TTYH1	tweety family member 1
ILMN_1886604	1.06e-01	3.81e-02	-2.08	-4.835401	-5.48e-02	27877447		
ILMN_1806032	1.06e-01	3.82e-02	-2.08	-4.835627	-1.37e-01	325974496	SLC25A16	solute carrier family 25 member 16
ILMN_1792748	1.06e-01	3.82e-02	-2.08	-4.836385	-5.62e-02	327532713	CPS1	carbamoyl-phosphate synthase 1
ILMN_1802139	1.06e-01	3.82e-02	-2.08	-4.836781	-8.15e-02	NA		
ILMN_1790105	1.06e-01	3.82e-02	-2.08	-4.837343	-6.15e-02	54792063	SUMO1	small ubiquitin-like modifier 1
ILMN_1799110	1.06e-01	3.82e-02	-2.08	-4.837649	-5.27e-02	NA		
ILMN_1887617	1.06e-01	3.82e-02	-2.07	-4.837752	-5.82e-02	27836984		
ILMN_2409290	1.06e-01	3.82e-02	-2.07	-4.837762	-1.53e-01	325053638	CCPG1	cell cycle progression 1
ILMN_1778161	1.06e-01	3.83e-02	2.07	-4.837987	7.22e-02	118498346	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25
ILMN_1697289	1.06e-01	3.83e-02	-2.07	-4.838078	-8.46e-02	756761767	ZNF713	zinc finger protein 713
ILMN_1825529	1.06e-01	3.83e-02	-2.07	-4.838135	-5.11e-02	27825583		
ILMN_2337058	1.06e-01	3.83e-02	2.07	-4.838788	8.70e-02	531990832	PORCN	porcupine homolog (Drosophila)
ILMN_1741557	1.06e-01	3.83e-02	-2.07	-4.839214	-6.29e-02	NA		
ILMN_1687823	1.06e-01	3.83e-02	-2.07	-4.839232	-5.38e-02	282165713	TMEM132C	transmembrane protein 132C
ILMN_1658396	1.06e-01	3.83e-02	-2.07	-4.839359	-6.50e-02	93277100	SPEF2	sperm flagellar 2
ILMN_1746213	1.06e-01	3.83e-02	-2.07	-4.83955	-7.28e-02	1020738590	SNX20	sorting nexin 20
ILMN_3282786	1.06e-01	3.83e-02	2.07	-4.839865	5.93e-02	NA		
ILMN_1660315	1.06e-01	3.83e-02	2.07	-4.839961	9.38e-02	387849243	SPN	sialophorin
ILMN_1801366	1.06e-01	3.84e-02	2.07	-4.840828	6.79e-03	41393584	DNASE1L2	deoxyribonuclease 1 like 2
ILMN_1702739	1.06e-01	3.84e-02	-2.07	-4.841044	-4.95e-02	91598776	CATSPERD	cation channel sperm associated auxiliary subunit delta
ILMN_1748860	1.06e-01	3.84e-02	-2.07	-4.841376	-3.48e-02	NA		
ILMN_1660280	1.06e-01	3.84e-02	-2.07	-4.841618	-4.31e-02	NA		
ILMN_2043809	1.06e-01	3.84e-02	2.07	-4.841647	1.08e-01	266453668	PFKM	phosphofructokinase, muscle
ILMN_2256687	1.06e-01	3.84e-02	-2.07	-4.841751	-6.88e-02	224967047	SOX6	SRY-box 6
ILMN_1671628	1.06e-01	3.85e-02	-2.07	-4.842679	-7.09e-02	NA		
ILMN_1693226	1.06e-01	3.85e-02	2.07	-4.84268	1.31e-01	258679460	SMIM12	small integral membrane protein 12
ILMN_3234116	1.06e-01	3.85e-02	2.07	-4.84298	1.67e-01	NA		
ILMN_1672350	1.06e-01	3.85e-02	2.07	-4.843005	4.89e-02	393715109	JAM2	junctional adhesion molecule 2
ILMN_2233339	1.06e-01	3.85e-02	-2.07	-4.84302	-3.01e-02	70608212	MYH16	myosin heavy chain 16 pseudogene
ILMN_1764694	1.06e-01	3.85e-02	2.07	-4.843101	1.03e-01	307133708	ZFP14	ZFP14 zinc finger protein
ILMN_1726107	1.06e-01	3.85e-02	-2.07	-4.843332	-1.48e-01	383842754	UBE2V1	ubiquitin conjugating enzyme E2 V1
ILMN_2403047	1.06e-01	3.85e-02	2.07	-4.843437	8.40e-02	292658835	ARL13B	ADP ribosylation factor like GTPase 13B
ILMN_1911213	1.07e-01	3.85e-02	-2.07	-4.843716	-7.28e-02	21754157	LOC283713	uncharacterized LOC283713
ILMN_1889135	1.07e-01	3.85e-02	-2.07	-4.843856	-3.80e-02	27843089		
ILMN_1744754	1.07e-01	3.85e-02	-2.07	-4.843967	-4.04e-02	NA		
ILMN_1662065	1.07e-01	3.85e-02	2.07	-4.844401	1.01e-01	374429543	WDR92	WD repeat domain 92
ILMN_1836531	1.07e-01	3.86e-02	-2.07	-4.844463	-7.86e-02	34531425	PRRG3	proline rich and Gla domain 3
ILMN_3200242	1.07e-01	3.86e-02	2.07	-4.844478	3.41e-02	NA		
ILMN_1841246	1.07e-01	3.86e-02	-2.07	-4.844513	-5.80e-02	27880576		
ILMN_1723020	1.07e-01	3.86e-02	2.07	-4.844542	9.98e-02	153945764	MAP3K1	mitogen-activated protein kinase kinase kinase 1
ILMN_1895915	1.07e-01	3.86e-02	-2.07	-4.844649	-1.27e-01	11511128		
ILMN_1810977	1.07e-01	3.86e-02	2.07	-4.844773	9.58e-02	197313670	CDV3	CDV3 homolog
ILMN_1838660	1.07e-01	3.86e-02	-2.07	-4.844829	-4.21e-02	NA		
ILMN_2404516	1.07e-01	3.86e-02	-2.07	-4.844961	-6.10e-02	14196453	PCDHGA1	protocadherin gamma subfamily A, 1
ILMN_2323944	1.07e-01	3.86e-02	2.07	-4.845358	1.14e-01	574584459	FAM110A	family with sequence similarity 110 member A
